review_id,user_id,business_id,stars,year
J-4NdnDZ0pUQaUEEwDI9KQ,vrKkXsozqqecF3CW4cGaVQ,rjuWz_AD3WfXJc03AhIO_w,5,2012
D3GVEsKHghesOV5wdZOwRQ,Zp1o52IRl92dunmsfiT96g,gGyqnAlpFrka_qzpO7j4lQ,5,2013
2DTSLWrxArBe6iNGTJhRZQ,PyYBky3iWH9Fo_bUxoYyDQ,n-iPn34tLaqnq-dI8m8Bkw,3,2016
lQF3kV6JazQ8chYr4ZKG4w,LXvn-Wl2Sjzvl_7TxK-x6g,gGyqnAlpFrka_qzpO7j4lQ,5,2008
5TN1g0CQ2WQi-Yg1BSFImQ,QrVzVbFQ7vyePxrowVSe4w,PYUI1OJVksGUbCrteU68bw,4,2016
2fA_8TK24PULHnFz4CE_JA,B7d4_zvYzjE1D-E2fSw9LA,gGyqnAlpFrka_qzpO7j4lQ,2,2009
wsHkjfZNvPI9zR3wdTC63w,1zb_UehKkK_QqTxdWJrrgQ,cb1qOn3wAGVw8oINX4tqFQ,5,2017
PBN1u7g70HYL3_0KvaTE5g,54HB_v5w1Se8-poiu7i7XA,PYUI1OJVksGUbCrteU68bw,2,2018
QeJwqMkDPBrhF2KCBOmkew,SO5hWS7e0Su710xfphAn3A,IAj1Lw3FAOY-yZn4IO7ElQ,3,2013
8Nwbb2U0oYuGFMR7sDEkeQ,legEZzXG28Hy0ikwMnOLzQ,gGyqnAlpFrka_qzpO7j4lQ,5,2012
n3VadK6hnAfbw1iusoIxsg,8ye1qUh_e2M8diIWVPexow,7e4Z9_qGA0Vjb8xlFC61PA,5,2010
GcnvXGEReBrvPB25Wu2qZg,GcdYgbaF75vj7RO6EZhPOQ,gGyqnAlpFrka_qzpO7j4lQ,5,2013
KNl-_QjfyxDXkVjtKMNydQ,W42E8JMyTLKI6FSU0Mau2A,AfassS1QI0DHsqwuof9-lA,5,2015
RWtsC7CAEa3JIdIQkPw8Og,EG40sFToZEzZa5C7aIAlSQ,zLViSytSrWambgwGECNyZA,5,2018
-1R1XmgqcJ01OFHl1mVBng,dzbkBqwkr2hrGVY9VQYNNQ,nQTJn9kdpU9Mns-b_qduVw,2,2017
lVkHtXEVKmq84Fttdq0RAQ,9-DHS9YmfEDRqszj_e68GA,hxGPQvQLwMQzOz72Cx8UGg,3,2017
ekB4yPnJHh1a6xJqkfpygQ,KNnHVB8B5UBe3QZNZthdDg,pCmaISSyKum22MOtPOxL-w,5,2008
P0E03nA8s9-XuIid6GODxw,MLRwcT_tFxh4M2ohhy_zlQ,2Ht6SIY3oWnqX28S8Cj8DQ,1,2018
xj_2QYVK3yGK_tec3yB7xQ,koU9hTzbEXeQYtu7JUhK0Q,gGyqnAlpFrka_qzpO7j4lQ,4,2015
giM9hj9MySZ5l32vKs5q1g,9T4U4sqE80mtgS9eCblBow,usv5G5cO314pPHRTGq2Eyw,1,2017
-qq_wNybY7oshzV2dk9AXQ,xKLeaJ5orLWIblPOHOFd3Q,PYUI1OJVksGUbCrteU68bw,5,2017
6q-XdTfZuc12IjVBTS8QLA,PHhcCGD3gVBMyAQ_9oeYlA,rjuWz_AD3WfXJc03AhIO_w,5,2013
mlr7sC2XlVXp-ELMMDb6pg,HZfRF_zc40soC2blonfY1w,rjuWz_AD3WfXJc03AhIO_w,4,2010
FpKoqLYAm0a5LKO3IWArcQ,fpr25FBnQwd2f3btZszlFg,mmBwAe9q062vKWanRfoagQ,5,2013
d1xG6udB3TDQ1jc2uT1RGA,1sv8MRvWfDOr3Z48j_P7Dw,PYUI1OJVksGUbCrteU68bw,5,2014
qetcOU8Ex6unNbOtrZXWRw,OW9Nl09o0y1-PujUpFp5HQ,PYUI1OJVksGUbCrteU68bw,5,2016
KSgyCsFcaYbWrMLFft-EWg,StlGWDIwOXfpmX-UvIe5bA,gGyqnAlpFrka_qzpO7j4lQ,4,2008
13k4YfhiZ7piHxQum-2_OA,ei8X5pyCur3d0CGb5EbnFA,gGyqnAlpFrka_qzpO7j4lQ,4,2009
8TxTFcH0q8LuVj6Fo6qacw,k4XjNX8Mju434hDMli7k2g,nQTJn9kdpU9Mns-b_qduVw,4,2014
bfevecJAAnbJMf9XLGFwmw,ou6T6K7vDEveO7BXMl1N0w,gGyqnAlpFrka_qzpO7j4lQ,5,2008
zbKwclX087yqCWh4f5i94A,ecptImHT4hdiVJJzRKCD8g,n-iPn34tLaqnq-dI8m8Bkw,4,2017
CDZKjiXCNL46QTzu2AYbWQ,EG40sFToZEzZa5C7aIAlSQ,cb1qOn3wAGVw8oINX4tqFQ,5,2018
bdAcp52-4ZXSqZt1SMVn8Q,n78fWiN1t7Txp057cyb4vg,n-iPn34tLaqnq-dI8m8Bkw,3,2018
5d4yIKQHzn5rkz0xRPAkTA,CA7p7Byuj4HOuRHshu4Iow,gGyqnAlpFrka_qzpO7j4lQ,3,2013
9-KQUXge9MkBUuRW4Vs79Q,ySqKXdWrWSsMk9hHAORlSA,gGyqnAlpFrka_qzpO7j4lQ,5,2011
uw9ib7U4VGoMRNSIBlfScQ,uEwJvEnTLInCxp6sv9KD7A,mmBwAe9q062vKWanRfoagQ,5,2016
iwLt_G3C9pABG6uRDGFOag,anj7JYvbmAIs0_UiL4mIJw,gGyqnAlpFrka_qzpO7j4lQ,5,2008
HBf-80vZERh7CNhgHuEhGw,Z0p0kH7j1n8ggCh9XKsHow,pCmaISSyKum22MOtPOxL-w,5,2015
j_R3DhL3VSNC1nW29yL1zA,6VNjEWMqCZ0aXdlRqUChqQ,usv5G5cO314pPHRTGq2Eyw,1,2016
DqizqddTM0UU9s-XvDweIQ,vPM95ybPSLyUkeHPycRcUA,pCmaISSyKum22MOtPOxL-w,5,2018
2MTUYIVRtISXyJZpE83NMg,j7Ew20Kh33lFEaUXW1rGNw,gGyqnAlpFrka_qzpO7j4lQ,4,2013
4sVfmeWj_tWawIOdkbqLKw,AWmNm-3zaM_1FUZEIpQaIg,gGyqnAlpFrka_qzpO7j4lQ,4,2017
IUMwP5oOVuq4lwd0ta4IMw,vwAAflM_s9YHHc1U7e82vw,gGyqnAlpFrka_qzpO7j4lQ,4,2015
96Qpbteufyv66Pw8wQZwCg,GaacaTNh_rOgJO3zbfqPkw,gGyqnAlpFrka_qzpO7j4lQ,5,2008
Tl_KF2cq11J0GoFqg1iu4Q,-rscWyDJaUazK_ofKgjPkw,7e4Z9_qGA0Vjb8xlFC61PA,5,2014
Z7hqejVhFG2kx6yPioSHgw,8EMU7d4pCkdqUnvlIW40CA,pCmaISSyKum22MOtPOxL-w,5,2012
hNfIEO5KogJCZpFljT8Wgg,LhtJF-Gbvp2ldSOrEYpx-w,AfassS1QI0DHsqwuof9-lA,1,2015
GLe3NfpqzNmQWqzumSquqA,8IR6rrt-rL6yRrUk1XM39Q,AfassS1QI0DHsqwuof9-lA,2,2008
1fyOmLAePtM-dlemn4_G8A,aN53tNId_2eeIgVTpctRbQ,gGyqnAlpFrka_qzpO7j4lQ,4,2014
ZBCebhcf5RxVXLyUAr-CPw,z7ghqh14j920qv2kcbncqA,nQTJn9kdpU9Mns-b_qduVw,5,2010
dQrHSfKrLSjfb4B6oKR55A,Y59oUyobhSLj_Sb6GDhnBA,n-iPn34tLaqnq-dI8m8Bkw,5,2014
rysB3rPCaCYRvOXTyMAIng,Kj-u8Yq1d3mLKitWsDAxpg,gGyqnAlpFrka_qzpO7j4lQ,5,2009
G59HAK5pyeR3TSZ6Axs7Og,ou6T6K7vDEveO7BXMl1N0w,zLViSytSrWambgwGECNyZA,2,2008
pOBYnTeGwBIoAYIQHHFN4A,Qxx4Upyd_ZYO1omUDaVKmQ,gGyqnAlpFrka_qzpO7j4lQ,5,2016
AKJYg5osv2U8M_hRaYXtMw,Cf8Jw9yX8RrG-l4PQoMkuw,AfassS1QI0DHsqwuof9-lA,4,2012
Wsej8I_aF42Ir1gnS5oItQ,U0zK340l3UzKzsGVH1oJmQ,AfassS1QI0DHsqwuof9-lA,5,2016
rLrSX3D5okdKprHKyKMKFA,6pchwsKU4idZqXs8fGJpNg,mmBwAe9q062vKWanRfoagQ,5,2016
nTnwzLWUOPV8pqZvrb2ONw,APFqFnfLxffb5YsRHox1vg,MyE_zdul_JO-dOHOug4GQQ,4,2018
wpjNw6UBnhEdRnT1MQl_qQ,HFECrzYDpgbS5EmTBtj2zQ,gGyqnAlpFrka_qzpO7j4lQ,4,2010
Widtk9KehQmV0ud6WHDj7g,uKZaU4nnY9EI8Ir7BSA5nA,AfassS1QI0DHsqwuof9-lA,4,2008
OUjCeqgXhtFoYF4Bt_pQzw,ov9G-Mn1XGFp6m8sFEmEng,gGyqnAlpFrka_qzpO7j4lQ,4,2012
bOX_T9njf8ou1YBEGxedHg,XqzzhLl-1XPgl-b9MD-fLA,NOiZcmPRZyDNSnvLo-c5Tw,5,2014
8RQRbpQy-N8im7wrXQat_w,K7Be3wNF6-1EAAus6TH__w,mmBwAe9q062vKWanRfoagQ,5,2017
mHKnHIoSEK5oxwh2W0O3cQ,TFvhSVpxUgZWks1cZqpakA,PYUI1OJVksGUbCrteU68bw,5,2017
EA4BZR8D3iN1jXF8nFacuA,4Msja2s6h4eEPwbUVPllkg,nQTJn9kdpU9Mns-b_qduVw,4,2012
Vl3MGCsiLDdi2HNeaDdYLg,4o3Pfu6PPTlMSw2ICGyXIg,nQTJn9kdpU9Mns-b_qduVw,5,2013
Sag_mPs7UulXmBpIUgtvPQ,0-5BuFi5Y5t6muChdJNakw,PYUI1OJVksGUbCrteU68bw,4,2016
tW31IZDp-K3-FJpAy7gj3A,__GHy1xxetn0SBqP4b_odA,PYUI1OJVksGUbCrteU68bw,3,2015
NulFiazEX9W1pHuL23MARQ,LnFvqzd441rn_y0tXr8_Qw,nQTJn9kdpU9Mns-b_qduVw,4,2014
ecUcPI5YzXT23UQTMYPoxw,BfWNe9ijuguuznV8s5OWjQ,rjuWz_AD3WfXJc03AhIO_w,4,2015
Rm8rpqzKhJcgEY0LhlkMpw,wWa9X07Cq8EVaqJrA5QKyA,pCmaISSyKum22MOtPOxL-w,4,2018
7EoY3FOboL0YimnUI-syyQ,yZwgNBKJb6YFnS7_lo8pGg,cDPHu4gct96U0BHIdL4wiA,5,2018
Mj-5p3pFnMeiVmSjWZnY0Q,w_RrPXOq6O3mx4hb1zcjwA,PYUI1OJVksGUbCrteU68bw,3,2014
M294z55YNSS0nvUf3umOmQ,xRaI1T8xgNVuIDK3_nmOnA,e1L7zxPnI9TeCqFexdstdw,5,2013
Kue7EEBezIjuqWS7KeIb_g,1ilY-t6ZToGpe7mEMWSppA,pCmaISSyKum22MOtPOxL-w,4,2011
p6O65mBIXcqAuPetLPjt-Q,hL6NtJvorRgVw6qE9OdnEA,PYUI1OJVksGUbCrteU68bw,3,2018
SRy-rVrZK-9IU7aJlmTNlQ,yIsQ4qFCyY-clmlRwQlw_w,n-iPn34tLaqnq-dI8m8Bkw,5,2014
VQscg2KWrJG8EkZ5i1___w,OdMteO9i6dS4Up234vPryg,3dd9a6QMCZc71UNMrBfSNA,5,2014
